,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
0,Barry Bonds,162.8,1986,2007,21-42,2986,12606,9847,2227,2935,601,77,762,1996,2558,688,1539,106,4,91,165,514,141,0.298,0.444,0.607,1.051,*78H/D9,PIT-SFG
1,Larry Walker,72.7,1989,2005,22-38,1988,8030,6907,1355,2160,471,62,383,1311,913,117,1231,138,7,65,153,230,76,0.313,0.4,0.565,0.965,*9H/387D45,MON-COL-STL
2,Scott Rolen,70.2,1996,2012,21-37,2038,8518,7398,1211,2077,517,43,316,1287,899,57,1410,127,1,93,150,118,49,0.281,0.364,0.49,0.855,*5/H,PHI-STL-TOR-CIN
3,Manny Ramirez,69.4,1993,2011,21-39,2302,9774,8244,1544,2574,547,20,555,1831,1329,216,1813,109,2,90,243,38,33,0.312,0.41100000000000003,0.585,0.996,79D/H,CLE-BOS-LAD-CHW-TBR
4,Edgar Martinez,68.4,1987,2004,24-41,2055,8674,7213,1219,2247,514,15,309,1261,1283,113,1202,89,10,77,190,49,30,0.312,0.418,0.515,0.9329999999999999,*D5/H3,SEA
5,Andruw Jones,62.8,1996,2012,19-35,2196,8664,7599,1204,1933,383,36,434,1289,891,69,1748,97,6,71,192,152,59,0.254,0.337,0.486,0.823,*89H7D/3,ATL-LAD-TEX-CHW-NYY
6,Todd Helton,61.2,1997,2013,23-39,2247,9453,7962,1401,2519,592,37,369,1406,1335,185,1175,57,3,93,186,37,29,0.316,0.414,0.539,0.953,*3/H79D,COL
7,Gary Sheffield,60.5,1988,2009,19-40,2576,10947,9217,1636,2689,467,27,509,1676,1475,130,1171,135,9,111,235,253,104,0.292,0.39299999999999996,0.514,0.907,975D/6H3,MIL-SDP-FLA-LAD-ATL-NYY-DET-NYM
8,Sammy Sosa,58.6,1989,2007,20-38,2354,9896,8813,1475,2408,379,45,609,1667,929,154,2306,59,17,78,202,234,107,0.273,0.344,0.534,0.878,*98D/H7,CHW-CHC-BAL-TEX
9,Jeff Kent,55.4,1992,2008,24-40,2298,9537,8498,1320,2461,560,47,377,1518,801,61,1522,125,10,103,224,94,60,0.29,0.35600000000000004,0.5,0.855,*453/HD6,TOR-NYM-CLE-SFG-HOU-LAD
10,Fred McGriff,52.6,1986,2004,22-40,2460,10174,8757,1349,2490,441,24,493,1550,1305,171,1882,39,2,71,226,72,38,0.284,0.377,0.509,0.8859999999999999,*3D/H,TOR-SDP-ATL-TBD-CHC-LAD
11,Lance Berkman,52.1,1999,2013,23-37,1879,7814,6491,1146,1905,422,30,366,1234,1201,160,1300,66,1,54,147,86,48,0.293,0.406,0.537,0.943,3798D/H,HOU-NYY-STL-TEX
12,Miguel Tejada,47.3,1997,2013,23-39,2171,9205,8434,1230,2407,468,23,307,1302,553,73,1079,122,23,71,277,85,38,0.285,0.336,0.456,0.7909999999999999,*65/4HD3,OAK-BAL-HOU-SDP-SFG-KCR
13,Omar Vizquel,45.6,1989,2012,22-45,2968,12013,10586,1445,2877,456,77,80,951,1028,25,1087,49,256,94,207,404,167,0.272,0.336,0.35200000000000004,0.688,*65H/4D379,SEA-CLE-SFG-TEX-CHW-TOR
14,Placido Polanco,41.5,1998,2013,22-37,1927,7887,7214,1009,2142,348,32,104,723,429,13,538,101,86,56,201,81,30,0.297,0.34299999999999997,0.397,0.74,*456H/7D3,STL-PHI-DET-MIA
15,Kevin Youkilis,32.6,2004,2013,25-34,1061,4436,3749,653,1053,254,18,150,618,539,22,828,104,0,44,74,26,14,0.281,0.382,0.478,0.861,*35/H7D94,BOS-CHW-NYY
16,Vernon Wells,28.5,1999,2013,20-34,1731,7212,6642,930,1794,379,34,270,958,472,24,956,31,2,65,168,109,37,0.27,0.319,0.45899999999999996,0.778,*87/D9H345,TOR-LAA-NYY
17,Travis Hafner,24.8,2002,2013,25-36,1183,4782,4058,619,1107,250,13,213,731,598,81,976,90,0,29,86,11,7,0.273,0.376,0.498,0.8740000000000001,*D/H3,TEX-CLE-NYY
18,Jason Bay,24.6,2003,2013,24-34,1278,5258,4505,737,1200,240,30,222,754,636,38,1216,56,7,54,84,95,17,0.266,0.36,0.48100000000000004,0.841,*7/8H9D,SDP-PIT-BOS-NYM-SEA
19,Michael Young,24.6,2000,2013,23-36,1970,8612,7918,1137,2375,441,60,185,1030,575,28,1235,22,25,72,236,90,30,0.3,0.34600000000000003,0.441,0.787,654D3/H,TEX-PHI-LAD
20,Ramon Hernandez,21.9,1999,2013,23-37,1526,5701,5105,580,1345,262,8,169,757,430,23,734,74,40,52,151,9,5,0.263,0.327,0.41700000000000004,0.7440000000000001,*2/H3D5,OAK-SDP-BAL-CIN-COL-LAD
21,Juan Pierre,17.1,2000,2013,22-35,1994,8280,7525,1075,2217,255,94,18,517,464,8,479,102,167,20,92,614,203,0.295,0.34299999999999997,0.361,0.7040000000000001,*87H/D,COL-FLA-CHC-LAD-CHW-PHI-MIA
22,Yorvit Torrealba,5.4,2001,2013,22-34,907,3183,2875,306,737,162,12,56,339,222,18,544,30,39,17,100,19,17,0.256,0.315,0.379,0.6940000000000001,*2/HD37,SFG-SEA-COL-SDP-TOR-MIL-TEX
